year,總人口數,人口數_男,人口數_女,性別比,人口數_新北市,人口數_臺北市,人口數_桃園市,人口數_臺中市,人口數_臺南市,人口數_高雄市,人口數_宜蘭縣,人口數_新竹縣,人口數_苗栗縣,人口數_彰化縣,人口數_南投縣,人口數_雲林縣,人口數_嘉義縣,人口數_屏東縣,人口數_臺東縣,人口數_花蓮縣,人口數_澎湖縣,人口數_基隆市,人口數_新竹市,人口數_嘉義市,人口數_金門縣,人口數_連江縣,失業率,失業率_男,失業率_女,每人每月薪資,薪資_男,薪資_女,有偶人口離婚率_男(千分之一),有偶人口離婚率_女(千分之一),單人,夫婦,單親,核心,祖孫,三代,其他,抗憂鬱藥物使用人數,抗憂鬱藥物使用人數_30歲以下,抗憂鬱藥物使用人數_31-40歲,抗憂鬱藥物使用人數_41-50歲,抗憂鬱藥物使用人數_51-65歲,抗憂鬱藥物使用人數_65歲以上,抗憂鬱藥物使用人數_男,抗憂鬱藥物使用人數_女,抗憂鬱藥物使用率,總工時,正常工時,加班工時
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.57,1.86,,,,3,3,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,1.15,1.53,,,,4,4,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.11,1.47,8843,10045,7148,4,4,,,,,,,,,,,,,,,,,2581.2,2432.4,148.8
70,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,1.21,1.65,10677,12550,8051,4,4,,,,,,,,,,,,,,,,,2488.8,2358,130.8
71,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,2.08,2.25,11472,13555,8670,5,5,,,,,,,,,,,,,,,,,2502,2378.4,123.6
72,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,2.68,2.76,12122,14310,9199,5,5,,,,,,,,,,,,,,,,,2487.6,2358,129.6
73,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,2.44,2.46,13409,15800,10227,5,5,,,,,,,,,,,,,,,,,2490,2348.4,141.6
74,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91,2.9,2.92,13980,16580,10526,5,5,,,,,,,,,,,,,,,,,2445.6,2330.4,115.2
75,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66,2.75,2.53,15118,17793,11589,5,5,,,,,,,,,,,,,,,,,2463.6,2320.8,142.8
76,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,1.96,1.97,16496,19315,12777,6,6,,,,,,,,,,,,,,,,,2462.4,2323.2,139.2
77,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,1.7,1.68,18399,21549,14260,6,6,,,,,,,,,,,,,,,,,2430,2305.2,124.8
78,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,1.57,1.56,21247,24888,16434,6,6,,,,,,,,,,,,,,,,,2394,2275.2,118.8
79,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.68,1.64,24317,28376,18923,6,6,,,,,,,,,,,,,,,,,2364,2250,114
80,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,1.5,1.53,26881,31444,20811,6,6,,,,,,,,,,,,,,,,,2360.4,2246.4,114
81,20802622,10734609,10068013,106.6209291,3162346,2696073,1415546,2112465,1741289,2552487,456857,385668,553557,1264955,542396,753841,556580,901491,255362,355609,95085,359482,332707,258698,44170,5958,1.51,1.47,1.57,29449,34388,22816,6,6,,,,,,,,,,,,,,,,,2355.6,2244,111.6
82,20995416,10824161,10171255,106.4191292,3222629,2653245,1448186,2167852,1759493,2572147,462509,393030,556188,1273655,544610,755753,562897,906428,255536,357464,95288,363037,335460,258599,45807,5603,1.45,1.36,1.59,31708,36911,24670,7,7,,,,,,,,,,,,,,,,,2353.2,2242.8,110.4
83,21177874,10907032,10270842,106.1941368,3260731,2653578,1483955,2212603,1771997,2595883,464359,401188,558191,1281296,546091,753791,564381,909110,254718,358247,92645,364520,338140,260368,46516,5566,1.56,1.51,1.65,33661,38918,26529,10,9,,,,,,,,,,,,,,,,,2358,2235.6,122.4
84,21357431,10990657,10366774,106.0181017,3305615,2632863,1524127,2257950,1788612,2619947,465043,408577,560128,1288447,546517,753998,565804,911843,254375,358981,90937,368771,340255,261391,47394,5856,1.79,1.79,1.8,35389,40571,28395,7,7,,,,,,,,,,,,,,,,,2331.6,2215.2,116.4
85,21525433,11065798,10459635,105.7952596,3355299,2605374,1570456,2303762,1799940,2641749,465120,414932,560099,1292482,545667,752427,565700,912850,253831,358660,90087,374199,345954,262860,47924,6061,2.6,2.72,2.42,36699,41892,29745,8,8,,,,,,,,,,,,,,,,,2320.8,2206.8,114
86,21742815,11163764,10579051,105.5270837,3420535,2598493,1614471,2349722,1814062,2663302,466603,421721,560344,1297744,546707,751913,567695,913764,253002,358077,91169,379370,351800,262822,51080,8419,2.72,2.94,2.37,38489,43714,31522,8,8,,,,,,,,,,,,,,,,,2326.8,2205.6,121.2
87,21928591,11243408,10685183,105.2242905,3459624,2639939,1650984,2385367,1822102,2689374,465627,427980,559858,1301467,545874,748995,565733,910540,249937,356601,89463,382118,356243,263050,51060,6655,2.69,2.93,2.33,39673,45004,32686,9,9,,,,,,,,,,,,,,,,,2282.4,2170.8,111.6
88,22092387,11312728,10779659,104.9451379,3510917,2641312,1691292,2421996,1831783,2705857,465004,433767,559804,1305640,544038,746241,562662,909015,247801,355686,89013,385201,361958,265109,51731,6560,2.92,3.23,2.46,40781,46056,33964,10,10,,,,,,,,,,,,,,,,,2282.4,2164.8,117.6
89,22276672,11392050,10884622,104.6618799,3567896,2646474,1732617,2460098,1842337,2725267,465186,439713,559703,1310531,541537,743368,562305,907590,245312,353630,89496,388425,368439,266183,53832,6733,2.99,3.36,2.44,41831,47198,35009,11,11,,,,,,,,,,,,,,,,,2281.2,2162.4,118.8
90,22405568,11441651,10963917,104.3573296,3610252,2633802,1762963,2485968,1848243,2731415,465799,446300,560640,1313994,541818,743562,563365,909364,244612,353139,92268,390966,373296,267993,56958,8851,4.57,5.16,3.71,41952,46995,35623,11,12,10.73,13.03,7.73,47.12,1.12,15.48,4.8,,,,,,,,,,2164.8,2061.6,103.2
